factor,periods,rank_ic,ic_ir,win,s_i,direction,turnover,net_excess,gross_excess,sharpe,max_dd,max_pool_corr,corr_size,corr_h03,corr_t10,corr_e,corr_f
alpha191_073,120,0.02637981047772112,0.28860444934718227,0.44166666666666665,0.0033625543822558652,1,0.924795424234318,-11.389243671497251,2.5936631429256396,0.009415848197818471,45.97421459149638,0.04263914953058813,0.02138151903792794,0.008420815897980423,0.04263914953058813,0.025377960609428037,0.016661405674467018
alpha191_082,120,0.041351101592034006,0.18753023006629446,0.43333333333333335,0.003360318691187836,1,0.5804203136724733,-3.8803432697809255,4.89561187294687,0.29618005487538795,34.21683677785373,0.3090597057543985,-0.039916725630327436,-0.08278578283824428,0.3090597057543985,-0.03817855227676089,-0.07390731528575685
alpha191_077,120,-0.03485437649629041,-0.19136549494414248,0.5,0.0033349625045910507,0,0.6985985337075113,-19.15175508388899,-8.588945254231417,-0.21040936283861594,62.26983447799942,-0.04224421331800857,-0.09425163034527675,-0.04224421331800857,-0.1874554249924571,-0.27014385588977324,-0.2442293897514291
alpha191_148,120,0.03478400981456976,0.17611534302052168,0.5333333333333333,0.003267198837398477,1,0.7714073738504627,-10.20854667722666,1.4551328153923349,0.0631870209888454,37.07798760699986,0.20299999722700304,0.0201316209270051,-0.0012350730729746332,0.20299999722700304,0.15074052459151258,0.13010546411883323
alpha191_010,120,-0.03410670527284975,-0.20894069360160952,0.4583333333333333,0.003266211050746829,0,0.6637205171750219,-26.399640531193103,-16.364186311506767,-0.4957643395576779,71.06354625791138,-0.01402904230953111,-0.06405085784063641,-0.01402904230953111,-0.12394005834350982,-0.13164192708531158,-0.10296721601875708
alpha191_068,120,-0.06120301540155957,-0.20724346946890498,0.25,0.003170981313444508,0,0.6326369371712066,-29.239366736276956,-19.67389624624831,-0.5906087543858268,76.57495441242408,0.013378901718980615,-0.04951857964466215,-0.011803954998059259,-0.22948731546089135,-0.015289655557429633,0.013378901718980615
alpha191_141,120,0.019521923616778382,0.36486375413168176,0.44166666666666665,0.003145922032921284,1,0.8939985411262517,-9.844635688993037,3.6726222528358887,0.06639150925365021,42.33890872961326,0.060529913710673414,0.016010879087140845,0.04428158594253149,0.060529913710673414,0.032376880015153965,0.04505314407148875
alpha191_160,120,-0.049924861069280325,-0.12037769271624914,0.49166666666666664,0.0029548377958104675,0,0.1308483275213746,-12.725354940517642,-10.74692822839446,0.057892352869959106,59.8589405959512,-0.14921469060854964,-0.16738739649461737,-0.14921469060854964,-0.35567792490773076,-0.4754518706744703,-0.4653511968058311
alpha191_023,120,-0.031961637758419606,-0.1904817938834069,0.48333333333333334,0.0029425865462431094,0,0.6343669910407824,-23.9840079737628,-14.39237906922617,-0.44319167678798643,62.7925050637971,0.0730912339857855,0.05216079062160572,0.0730912339857855,-0.22339786727701547,0.04394502651670887,0.06008740413003639
alpha191_028,120,-0.027952507568744546,-0.19103494529280296,0.55,0.0029369481648054765,0,0.9446990970484482,-25.764896323010934,-11.481045975638393,-0.6039494367465127,58.19096292919301,0.053627914224533696,0.008552975765121882,0.053627914224533696,-0.06785477046862456,0.009704510194259332,0.036324565487051194
alpha191_176,120,-0.032440915537443805,-0.22375027844222015,0.38333333333333336,0.0027824878223623793,0,0.8835739239250955,-20.335076163298883,-6.97543843355144,-0.3137352940471211,55.0970438421549,0.004857049649475561,0.004857049649475561,-0.044152681265876334,-0.12029352002781775,-0.03192734676438962,-0.050792375857955464
alpha191_102,120,-0.0222218920402517,-0.23469027647105226,0.5083333333333333,0.002651091509873578,0,0.9149164209142957,-24.014358973554156,-10.180822689330004,-0.4724370074072072,57.26075195045293,0.036190289665841896,-0.046507814842840715,0.036190289665841896,-0.014475262398289338,-0.03549631893706491,0.008383270998238735
alpha191_170,120,0.029008114846854786,0.18430859828170723,0.49166666666666664,0.0026286687848908045,1,0.8998488417489106,-15.016113810314447,-1.410399323070921,-0.08021860664125534,36.609634865753385,0.10142350326159262,0.05407214141923524,-0.0027285944436159218,0.10142350326159262,0.06185333973834219,0.03036058339197652
alpha191_096,120,-0.03566951406887589,-0.1699900990384827,0.4166666666666667,0.0025264434288428186,0,0.8347047301398481,-26.797660961573914,-14.176925441859412,-0.5932044184546902,63.117747101326536,0.07426872690713533,0.014773366589236904,0.07426872690713533,-0.17741847305799338,0.008283202005888854,0.047535894850736164
alpha191_053,120,-0.027537595583414568,-0.1754660804455619,0.48333333333333334,0.002335425081593106,0,0.8424909478250836,-23.078472723220823,-10.34000959210556,-0.4273385888077053,62.193868618646164,0.0664815414089092,0.05788041913970204,0.0664815414089092,-0.11736244754856327,0.016898260792506618,0.026836953624888867
alpha191_155,120,-0.015546171743152322,-0.3130119860971856,0.4666666666666667,0.002270864443648292,0,0.82508561566499,-34.69457803088025,-22.219283522025602,-0.9083750799171023,72.56982218468286,0.09653690882225503,0.010139628853209385,0.04051451183261826,0.09653690882225503,0.004184766487207632,0.01778395953501839
alpha191_171,120,-0.014680792798732089,-0.2919990784550266,0.5083333333333333,0.0021791121338446385,0,0.9022060761447669,-23.83432913172258,-10.192973260413707,-0.4144106313008616,58.03943035319483,-0.05177105769638636,-0.05398458891015513,-0.05177105769638636,-0.10275498385799628,-0.09232665003008812,-0.08580701186460692
alpha191_184,120,0.028562871821701148,0.14649308158759805,0.5083333333333333,0.002127000415344224,1,0.6812511614200115,-9.506815076729866,0.7937024839407059,0.1274476315628843,46.346574866096745,0.06666897690102754,-0.0888973912800562,-0.01427898097420208,0.06666897690102754,-0.03754059093906449,-0.002539501480925984
alpha191_076,120,-0.0176662073081552,-0.24441290919869424,0.475,0.0020509783332793865,0,0.647859225684721,-19.490295434118927,-9.694663941765945,-0.2580729035328481,54.563834321896564,0.06402677984498041,0.06402677984498041,0.04160274739129314,-0.06323571995352967,0.040993817715123136,0.03857213747162305
