selection,size,na,net_5y,turn_5y,sharpe_5y,dd_5y,nc_5y,comb_5y,win_rate_5y,net_1y,turn_1y,sharpe_1y,dd_1y,nc_1y,comb_1y,net_3m,turn_3m,sharpe_3m,dd_3m,nc_3m,comb_3m,comb_mean,comb_min,objective
impact60+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+t10_size_plus_impact_aggregate+impact_abs_return60,5,0.22825931308499994,24.72117684058801,13.218385322798392,1.1690206322102825,26.15192764432457,1.0,0.495651862617,0.7666666666666667,8.894103200628372,12.584939885993812,0.6774788514239667,18.683362133876425,0.2597018142837575,0.1625176790446909,54.536011536775106,11.086899585481834,1.0494151050579776,2.2309160047925602,1.0,0.495651862617,0.3846071347595636,0.1625176790446909,0.41127380142623027
size_only+impact60+t10_size_plus_impact+t10_size_plus_impact_aggregate+impact_abs_return60,5,0.26120984660999996,26.09259929146986,18.99558330292333,1.154097110126006,28.147433959303868,0.874853208546715,0.4459259131680217,0.8,12.28404728214745,18.67437851889506,0.7569259570288089,19.87928764343203,0.3159424906963065,0.1944160901353379,60.0312575287134,15.155797363424128,1.0760558367739992,2.1827308173801185,1.0,0.502241969322,0.38086132420845314,0.1944160901353379,0.41086132420845317
impact60+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+impact_abs_return60+t10_size_plus_impact_downside,5,0.2272458838325,24.666034291663127,13.315253146108438,1.1674390973293602,26.09118298820028,1.0,0.4954491767665,0.7666666666666667,8.845896298010397,12.671287961893313,0.6746157799667041,18.750079452130887,0.25693720911446005,0.16107092086800703,54.85969467172846,11.085231791236609,1.0541160260250606,2.2322035584406374,1.0,0.4954491767665,0.38398975813366903,0.16107092086800703,0.4106564248003357
size_only+impact60+book_to_market_lf_minus_size+t10_size_plus_impact_wc+impact_abs_return60,5,0.21479017932250002,24.54288019492082,13.795975135602164,1.1275879783746532,29.203188528125324,0.9986743470110986,0.4923614920194944,0.7833333333333333,9.326685964119989,13.341897079258496,0.666900827350478,19.802410575611905,0.26344048331494685,0.1615062533562261,56.22645008956002,11.560571763693565,1.0272870180577802,2.6298121727238777,1.0,0.49295803586450004,0.3822752604134068,0.1615062533562261,0.41060859374674014
impact60+book_to_market_lf_plus_impact+t10_size_plus_impact_aggregate+impact_abs_return60+t10_size_plus_impact_downside,5,0.26499820371,24.83531383482148,18.066442786045577,1.1588794984680155,25.533155158146016,0.9207981952873542,0.4673588286213094,0.8,10.12918162223673,17.49957772094444,0.7016243386113433,19.12687130580697,0.26075351703469757,0.1703387234076139,55.5613289362926,14.21882050349381,1.0351226653071979,2.432431640238286,1.0,0.502999640742,0.38023239759030775,0.1703387234076139,0.4102323975903078
size_only+impact60+book_to_market_lf_minus_size+t10_size_plus_impact_fscore+impact_abs_return60+t10_size_plus_impact_downside,6,0.2581908887729166,26.258945557452794,18.17732549080591,1.1684652476899868,27.742845546187056,0.9383472463437145,0.47389443860925484,0.7833333333333333,10.284387138259127,17.3701010222193,0.6980390087448698,20.03933461476779,0.2615882902713493,0.1693529083766905,61.09131556471181,14.261030814187562,1.087801808260569,2.3541727483125663,1.0,0.5016381777545833,0.3816285082468429,0.1693529083766905,0.40996184158017623
impact60+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+t10_size_plus_impact_aggregate+impact_abs_return60+t10_size_plus_impact_downside,6,0.25607166767499995,24.23401997484082,16.477107778435442,1.1471531599721256,26.066206670661295,0.9662094439438357,0.48600858330972607,0.75,9.39654455019081,15.958193333033815,0.6840413149614809,19.11159977121173,0.25867163762032847,0.1676165704641478,56.260103446090206,13.616730134544316,1.0661385793015836,2.299024245361536,1.0,0.501214333535,0.38494649576962464,0.1676165704641478,0.40994649576962466
size_only+impact60+t10_size_plus_impact_fscore+t10_size_plus_impact_aggregate+impact_abs_return60+t10_size_plus_impact_downside,6,0.28965115533749997,26.091599838994288,21.225645010323056,1.1602061181635117,27.14022950358953,0.8014159562522135,0.41856741138099607,0.8166666666666668,13.451286643004009,20.7976383282735,0.8054620373877254,19.27602846052886,0.3337056383084838,0.20809776830631774,63.977221852344,16.714552889403468,1.1399865939821405,1.8569795523512456,1.0,0.5079302310675,0.3781984702516046,0.20809776830631774,0.40986513691827126
impact60+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+t10_size_plus_impact+impact_abs_return60,5,0.23633540570749997,24.041476875094638,14.287133222086881,1.1485726959211446,26.398500517214796,1.0,0.4972670811415,0.7666666666666667,8.46875011083551,13.784963030353442,0.6565098448491159,18.961320232300196,0.2385977770893653,0.15463608083171437,55.73041491801656,11.514235674879448,1.0684131616330292,2.2202984523714164,1.0,0.4972670811415,0.3830567477049048,0.15463608083171437,0.40972341437157145
size_only+impact60+t10_size_plus_impact+impact_abs_return60+t10_size_plus_impact_downside,5,0.2601964173575,26.094749713405964,19.0708271349922,1.1531931501147017,28.119438018355915,0.8712324597433085,0.44409389035598884,0.7833333333333333,12.496642026094351,18.73196709608525,0.7646273948424961,19.743752010032757,0.3243737954361897,0.19800749141778537,60.806434058815086,15.198440110940464,1.0921397788391438,2.085367878249722,1.0,0.5020392834715,0.38138022174842473,0.19800749141778537,0.40971355508175805
size_only+impact60+t10_size_plus_impact_bm+book_to_market_lf_plus_impact+t10_size_plus_impact_fscore+impact_abs_return60,6,0.26678711811875,25.378710813272185,18.459453808622424,1.1571656615722992,26.826338141212137,0.8989767544021914,0.45789696310473615,0.7833333333333333,10.914700143317916,17.81743996699991,0.7274050051001314,19.716849351516995,0.2834734910502534,0.18092049459636403,61.04189877555184,14.962902569897551,1.1057001086270632,2.3274815288805595,1.0,0.50335742362375,0.38072496044161674,0.18092049459636403,0.40905829377495007
size_only+impact60+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+t10_size_plus_impact+t10_size_plus_impact_aggregate+impact_abs_return60,7,0.2442769321071428,24.902735035525485,16.49817784622823,1.142835135943752,28.049915203860753,0.9536511530665703,0.4779984053013852,0.7833333333333333,9.363392263349029,15.598003792143567,0.6722384727405672,19.749371397446303,0.2565872933238159,0.16431966841714574,58.031635725508515,13.661692623532362,1.0708489068751195,2.4884114398087798,1.0,0.49885538642142857,0.3803911533799866,0.16431966841714574,0.4087244867133199
