candidate_a,candidate_b,correlation,abs_correlation,days,correlation_std,common_stocks_mean,common_stocks_min,cycle
C10-022,C10-033,0.48874640034796923,0.48874640034796923,120,0.10917741056917755,4422.416666666667,3623,10
C10-022,C10-034,0.42955967918270316,0.42955967918270316,120,0.12833169974152647,4422.416666666667,3623,10
C10-022,C10-035,0.28389983605707836,0.28389983605707836,120,0.12909875767924167,4393.208333333333,3590,10
C10-023,C10-024,0.8588717297360219,0.8588717297360219,120,0.03148885628217763,4393.208333333333,3590,10
C10-023,C10-025,0.8985901025421008,0.8985901025421008,120,0.03183792539532328,4393.208333333333,3590,10
C10-023,C10-026,0.947021318534951,0.947021318534951,120,0.014368484950410675,4393.208333333333,3590,10
C10-023,C10-027,0.7943903342816664,0.7943903342816664,120,0.04401099297838474,4393.208333333333,3590,10
C10-023,C10-028,0.4785137735272287,0.4785137735272287,120,0.13426629857253064,4393.208333333333,3590,10
C10-023,C10-029,0.7409792817879102,0.7409792817879102,120,0.06505008843478109,4393.208333333333,3590,10
C10-023,C10-030,0.39963825201747255,0.39963825201747255,120,0.12291157598862239,4393.208333333333,3590,10
C10-023,C10-031,0.4230041310690254,0.4230041310690254,120,0.13150497788064616,4393.208333333333,3590,10
C10-023,C10-032,0.28361703666664617,0.28361703666664617,120,0.1601816700784454,4393.208333333333,3590,10
C10-023,C10-033,0.307254231311808,0.307254231311808,120,0.12701791326044345,4393.208333333333,3590,10
C10-023,C10-034,0.2609695354949937,0.2609695354949937,120,0.1460365574379083,4393.208333333333,3590,10
C10-023,C10-035,0.47028687618612075,0.47028687618612075,120,0.11277019872014885,4393.208333333333,3590,10
C10-024,C10-025,0.8568670231997315,0.8568670231997315,120,0.023673160645423165,4393.208333333333,3590,10
C10-024,C10-026,0.8622810882122602,0.8622810882122602,120,0.023336605146614776,4393.208333333333,3590,10
C10-024,C10-027,0.5934495117040655,0.5934495117040655,120,0.09455872015607354,4422.416666666667,3623,10
C10-024,C10-028,0.4546519411729751,0.4546519411729751,120,0.1276993158896803,4422.416666666667,3623,10
C10-024,C10-029,0.8203919343720062,0.8203919343720062,120,0.039394823685288044,4422.416666666667,3623,10
C10-024,C10-030,0.10176036320282808,0.10176036320282808,120,0.1531603969435021,4418.308333333333,3620,10
C10-024,C10-031,0.0981183186313373,0.0981183186313373,120,0.16409655966310802,4418.308333333333,3620,10
C10-024,C10-032,0.07572646690164833,0.07572646690164833,120,0.17856342591646396,4422.416666666667,3623,10
C10-024,C10-033,0.1443677480764785,0.1443677480764785,120,0.13534877847129043,4422.416666666667,3623,10
C10-024,C10-034,0.08279351504305099,0.08279351504305099,120,0.15480861300033202,4422.416666666667,3623,10
C10-024,C10-035,0.08916918603056938,0.08916918603056938,120,0.15018071552963216,4393.208333333333,3590,10
C10-025,C10-026,0.9418752952539324,0.9418752952539324,120,0.01039999174130187,4393.208333333333,3590,10
C10-025,C10-027,0.5517792214879189,0.5517792214879189,120,0.10828634383646796,4393.208333333333,3590,10
C10-025,C10-028,0.31387386756951513,0.31387386756951513,120,0.11687163951733555,4393.208333333333,3590,10
C10-025,C10-029,0.7103484933386296,0.7103484933386296,120,0.06854138643218365,4393.208333333333,3590,10
C10-025,C10-030,0.3395622100075684,0.3395622100075684,120,0.12768795715262835,4393.208333333333,3590,10
C10-025,C10-031,0.3147714753919014,0.3147714753919014,120,0.138873487078763,4393.208333333333,3590,10
C10-025,C10-032,0.030484387368087687,0.030484387368087687,120,0.15953253816695526,4393.208333333333,3590,10
C10-025,C10-033,0.13449328210216838,0.13449328210216838,120,0.12190456486403735,4393.208333333333,3590,10
C10-025,C10-034,0.07042237470223386,0.07042237470223386,120,0.14113356952751147,4393.208333333333,3590,10
C10-025,C10-035,0.46235727090647266,0.46235727090647266,120,0.12050983263938252,4393.208333333333,3590,10
C10-026,C10-027,0.5680997586709123,0.5680997586709123,120,0.09014664207608249,4393.208333333333,3590,10
C10-026,C10-028,0.3456789791501841,0.3456789791501841,120,0.1285387645089281,4393.208333333333,3590,10
C10-026,C10-029,0.7076380023938962,0.7076380023938962,120,0.055883939549655495,4393.208333333333,3590,10
