selection,size,comb,na,nb,nc,net,turnover,test,recent,s_recent,raw_a,change
size_only+chip250+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+alpha13,5,0.17696803968886782,0.14341964197499998,0.09332416987150466,0.2569347818640915,19.014774853167445,39.44077839820946,20.257593489167004,3.0273206123142438,0.005599450192290279,0.011473571358,swap impact60 -> alpha13
size_only+impact60+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+max5_low21,5,0.17194476532387765,0.14763852625499999,0.1534053533323797,0.1971670809034328,15.242935736812182,36.65044879584305,14.886194608608443,5.523077946248091,0.009204321199942782,0.0118110821004,swap chip250 -> max5_low21
size_only+impact60+chip250+book_to_market_lf_plus_impact+alpha44,5,0.15876843514021036,0.138225104565,0.14075270263791248,0.1819110406754244,17.13751986631651,45.60777998132641,20.67871734154737,3.3552544070297703,0.008445162158274748,0.0110580083652,swap book_to_market_lf_minus_size -> alpha44
size_only+impact60+chip250+book_to_market_lf_minus_size+alpha44,5,0.1567457995460219,0.142022841225,0.12790353958462963,0.18572220543644785,17.74232473556489,45.75684651806524,21.408566663984224,4.241302908739376,0.0076742123750777776,0.011361827298,swap book_to_market_lf_plus_impact -> alpha44
impact60+chip250+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+alpha44,5,0.15285935213614166,0.15490072019999998,0.11744911894526362,0.17949336992288753,15.807434631791551,43.8467764468211,17.697401123240937,3.90430355670046,0.007046947136715817,0.012392057615999999,swap size_only -> alpha44
size_only+chip250+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+alpha44,5,0.14905562116451326,0.14104798164,0.09487546494139783,0.1947546935711645,17.214079420571913,44.339536790054005,20.527883972601547,5.714391323598204,0.005692527896483869,0.0112838385312,swap impact60 -> alpha44
impact60+chip250+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+max5_low21,5,0.14479856372749128,0.145202765775,0.09980138789218852,0.17961672180050064,14.959959806293337,41.447697106819994,13.450338007096224,1.983703271345591,0.005988083273531311,0.011616221262,swap size_only -> max5_low21
size_only+impact60+chip250+book_to_market_lf_plus_impact+max5_low21,5,0.14309487543125599,0.12852715014,0.11771442897605622,0.16930976724808067,15.709649886849991,43.960787058362534,17.511988690690774,3.215443438105446,0.0070628657385633726,0.0102821720112,swap book_to_market_lf_minus_size -> max5_low21
size_only+impact60+chip250+book_to_market_lf_minus_size+max5_low21,5,0.14139039377025125,0.13232488679999999,0.10653515957321803,0.1725291345769443,16.156005871179502,44.18882029656558,18.555102012931897,3.4489458938296664,0.006392109574393082,0.010585990944,swap book_to_market_lf_plus_impact -> max5_low21
size_only+chip250+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+max5_low21,5,0.1276001967157267,0.131350027215,0.0669469783685659,0.17310833076384144,15.118696946390745,42.05692592183747,13.779225628687042,2.114708770528659,0.004016818702113954,0.0105080021772,swap impact60 -> max5_low21
