field,direction,periods,rank_ic,ic_ir,win,s_i,turnover,gross,net,efficiency,finite_share
cal_5d_turnover_sum,0,120,-0.08119449695145965,-0.3924146841643569,0.6,0.019117147726254526,0.4586073621637003,-0.29865560785617906,-0.36799704101533054,0.041685217690488455,0.8514426938523324
cal_5d_up_day_ratio,0,120,-0.031963009369760965,-0.19017655059125105,0.4583333333333333,0.002786031814709448,0.8903307537215216,-0.1022133417458323,-0.23683135170852634,0.0031292099066150703,1.0
cal_5d_up_down_diff,0,120,-0.023033991358414125,-0.2142255518960496,0.43333333333333335,0.002138270121487545,0.8913892124145798,-0.10588723562830571,-0.24066528454539018,0.0023988063706710514,1.0
cal_5d_vol_dec_ratio,1,120,0.02042407710089286,0.21815761817249363,0.4666666666666667,0.0020793117397276723,0.900793717791226,0.015076716617244523,-0.12112329351278883,0.002308310658322761,0.8541890639481001
cal_5d_vol_net_chg,0,120,-0.020424073837796406,-0.21815762001273828,0.4666666666666667,0.002079311425061779,0.9099345947949425,-0.08156120041198545,-0.21914331114498076,0.002285121850467022,0.8541890639481001
cal_5d_vol_std_ratio,0,120,-0.02014277095459394,-0.05687182061259148,0.38333333333333336,0.0004391298216085708,0.8906563667923465,-0.017716589375153635,-0.15238383203415642,0.0004930406809868484,0.8530892801977139
cal_5d_vol_wgt_std,0,120,-0.07349515186944176,-0.20918734728337454,0.5416666666666666,0.008327721922951854,0.4139802902523284,-0.1755375492980379,-0.23813136918418992,0.02011622804041216,0.853130985480383
cal_daily_rise,0,120,-0.011395586650988871,-0.09617643890062327,0.45,0.0004931941244740153,0.7376819997911218,-0.12720047275760515,-0.23873799112602279,0.0006685728059159171,0.9078560395427867
cal_limit_down,0,120,-0.04993327263928003,-0.1763522745857327,0.525,0.004623069258909447,0.06561778428464406,-0.13938484862960243,-0.1493062576134406,0.07045451639840486,0.9076598702502318
cal_limit_up,0,120,-0.04993327263928003,-0.17635227079073837,0.525,0.004623069159423792,0.06561778428464406,-0.13938484862960243,-0.1493062576134406,0.07045451488226627,0.9076598702502318
cal_vwap,0,120,-0.04669690424682646,-0.15858176361214962,0.5166666666666667,0.0038260600058562,0.15126672660120818,-0.12566583786093843,-0.14853736692304112,0.02529346731976972,0.8530892801977139
cash_equivalent,0,120,-0.014334256640955874,-0.055953817112401195,0.35,0.0002807197310855935,0.013941938592452316,-0.062426103287454904,-0.06453412440263369,0.014035986554279675,0.9664828544949027
cash_flow_from_operating_activities,1,120,0.0037023846132341358,0.07388159975549516,0.2,5.4707619627173636e-05,0.05342983020769601,-0.0502195291902372,-0.058298119517640835,0.0010239152813046667,0.9730166821130676
cci,0,120,-0.045024836387930485,-0.2759078579829803,0.525,0.006521920736009725,0.9176538547868476,-0.1981413028875464,-0.33689056573131776,0.007107168680204188,0.850551436515292
cfd_flow_per_share_lyr,0,120,-0.005666946605273893,-0.21150842904970302,0.30833333333333335,0.00036957048364692546,0.05050850146199791,-0.03382080305252577,-0.041457688473579855,0.007316995613599556,0.9805236329935124
cfd_flow_per_share_ttm,0,120,-0.0003940294063862801,-0.08837164406763905,0.26666666666666666,9.285607054227051e-06,0.08627619186353777,-0.028938758844078816,-0.04198371905384573,0.00010762652886805676,0.9840654927401916
cfd_ocf_per_share_lyr,0,120,-0.001526823971707141,-0.07874513095667757,0.325,3.907473491995885e-05,0.022853257849629396,-0.05225664648708661,-0.055712059073950576,0.0017098102676241635,0.9805236329935124
cfd_ocf_per_share_ttm,0,120,0.004993174712566897,-0.028066710013899647,0.31666666666666665,4.437829579034475e-05,0.07758614220540393,-0.023782455378254852,-0.035513480079711925,0.0005719874004413867,0.9840654927401916
cfd_ocf_to_debt_lyr,0,120,0.001997941412474404,-0.09140031186528341,0.31666666666666665,5.782728159309637e-05,0.025324204755776864,-0.013631467353400595,-0.017460487112474058,0.0022834786778410097,0.9805699721964782
cfd_ocf_to_debt_ttm,0,120,0.005671441345345282,-0.03359570771674191,0.30833333333333335,5.87486264460169e-05,0.07859361090951435,0.0073557372449224445,-0.004527616724596124,0.0007474987567838665,0.9840886623416745
cfs_defer_exp_amort,0,120,-0.0072372741507348735,-0.049948760390403614,0.3,0.00010844786173041539,0.02986187823434314,-0.04972015067961566,-0.05423526666864834,0.0036316490503163715,0.9163839975285758
cfs_fix_asset_depr,1,120,-0.005031419250933904,0.010121498467962137,0.2833333333333333,1.4428892301334104e-05,0.026982043672328402,-0.045543767853038375,-0.04962345285629443,0.0005347590596383083,0.9709468643805992
cfs_intan_asset_amort,0,120,-0.00830111701072474,-0.04025129542227844,0.3416666666666667,0.00011416132698730733,0.027454323648848176,-0.040463820890503044,-0.04461491462620889,0.004158227623724283,0.9660966944701884
cfs_net_cash_operating,1,120,0.0037023846132341358,0.07388159975549516,0.2,5.4707619627173636e-05,0.05342983020769601,-0.0502195291902372,-0.058298119517640835,0.0010239152813046667,0.9730166821130676
cost_of_goods_sold,0,120,-0.008875545683600142,-0.03230357984528845,0.3416666666666667,9.795989870906649e-05,0.02810406994558883,-0.061277063287200395,-0.06552639866297343,0.003485612542906517,0.9555637936360828
cr,0,120,-0.06097933104704997,-0.2578215268232305,0.49166666666666664,0.007729877248978076,0.6137983758479024,-0.1908361808794985,-0.28364249530770136,0.012593512060536176,0.8974250849552055
cyf,0,120,-0.06979018654692766,-0.1785130007455877,0.5,0.006229227811543201,0.2394115983357192,-0.2576100508059417,-0.29380908447430243,0.02601890574577826,0.9024698795180723
cyr,0,120,-0.003570822216156376,-0.020037161325151102,0.375,2.6830927803209585e-05,0.9078216305975892,-0.056828023743598965,-0.19409065428995445,2.955528586110871e-05,0.8722289156626506
davol10,0,120,-0.0687527656672878,-0.41354092242002066,0.5583333333333333,0.015874579190912563,0.6052484976247385,-0.22461291947940376,-0.31612649232026424,0.02622820090130153,0.8047652147049738
davol20,0,120,-0.06072274006464885,-0.3090313222707789,0.525,0.0098517450433937,0.43542332490944163,-0.18245254695650803,-0.2482885536828156,0.022625671340511317,0.8047652147049738
davol5,0,120,-0.06917703752145712,-0.4720222949861014,0.5833333333333334,0.019047644006543737,0.6777512791642466,-0.24857591124389788,-0.351051904653532,0.02810418009100905,0.8047652147049738
deferred_expense_amortization,0,120,-0.0072372741507348735,-0.049948760390403614,0.3,0.00010844786173041539,0.02986187823434314,-0.04972015067961566,-0.05423526666864834,0.0036316490503163715,0.9163839975285758
di1,0,120,-0.060540281354521316,-0.2560724211052028,0.5666666666666667,0.008784861305144049,0.7694943735962265,-0.2049589795372072,-0.3213065288249567,0.011416407457390573,0.8999691071980228
di2,1,120,0.027054275515237636,0.11713886246810531,0.475,0.0015053258529079839,0.7908069729933672,-0.005621985242785232,-0.12519199955938234,0.0019035313348464995,0.8999691071980228
dkx,0,120,-0.04645049643270617,-0.16293339258707762,0.5166666666666667,0.003910307435086294,0.04764381893094943,-0.13326917140324335,-0.1404729168256029,0.08207376156713075,0.9036731541550819
dpo,0,120,-0.07417789679077808,-0.3553278728442864,0.5083333333333333,0.013398382758354515,0.5487176921150175,-0.2924565221841331,-0.37542263723192376,0.0244176248568017,0.9014241581711462
ema10,0,120,-0.04764634442567564,-0.16664597165838832,0.525,0.00416853746546315,0.05034769115559997,-0.13202245197586715,-0.13963502287859386,0.08279500747274089,0.905897435897436
