components,factor_count,full_period_label,full_periods,full_first_signal_date,full_last_signal_date,full_mean_stock_count,full_rank_ic,full_ic_mean,full_gross_excess_pct,full_turnover_pct,full_annual_cost_pct,full_net_excess_pct,full_sharpe_after_cost,full_max_drawdown_pct,full_monthly_win_rate_pct,full_min_member_addition_pp,full_vs_best_single_pp
SIZE+DD120+CHIP250+DD60+C02,5,full,120,2021-09-07,2026-08-10,4743.825,,,13.339865150603798,33.79908908716915,5.110422269979977,8.22944288062382,0.6203730450992935,33.545044818061584,73.33333333333333,-1.0291071967620071,-8.896520660565548
SIZE+DD120+DD60+C01+C02,5,full,120,2021-09-07,2026-08-10,4743.825,,,13.306101476298103,35.01184183528669,5.293790485495348,8.012310990802757,0.6171325475934603,32.701121954513226,70.0,-1.602426846504022,-9.113652550386613
H03+RET40+CHIP250+ASSET_GROWTH+C03,5,full,120,2021-09-07,2026-08-10,4743.825,,,14.460086176866405,34.174544548119755,5.167191135675707,9.2928950411907,0.689337316173392,33.30327985764448,71.66666666666667,-2.081139899622785,-4.9735721687654095
H03+CHIP250+DD60+C02+C03,5,full,120,2021-09-07,2026-08-10,4743.825,,,13.776680704498878,35.02594636927357,5.295923091034164,8.480757613464714,0.641787816583691,33.9905345286659,68.33333333333333,-1.2387268601798134,-5.785709596491394
SIZE+H03+RET40+DD120+CHIP250+DD60+ASSET_GROWTH+C01+C03,9,full,120,2021-09-07,2026-08-10,4743.825,,,14.10643797781655,34.728048397104864,5.250880917642256,8.855557060174293,0.6524758863528825,33.55119821130227,75.0,-1.2668958800847283,-8.270406481015074
H03+DD120+DD60+ASSET_GROWTH+C02,5,full,120,2021-09-07,2026-08-10,4743.825,,,12.348930917253387,30.89227761413029,4.670912375256499,7.678018541996888,0.6227524182226852,33.02607042935675,68.33333333333333,-1.5798501549288275,-6.58844866795922
SIZE+DD120+CHIP250+ASSET_GROWTH+C01+C02+C03,7,full,120,2021-09-07,2026-08-10,4743.825,,,12.212086584948263,30.132940719582603,4.556100636800889,7.655985948147376,0.6243529889843976,32.79868570031138,70.0,-0.7066456314463094,-9.469977593041992
SIZE+H03+RET40+DD120+DD60+C01+C02,7,full,120,2021-09-07,2026-08-10,4743.825,,,14.482467803932533,37.1677028759969,5.619756674850732,8.862711129081799,0.6456242551160298,34.218351551634086,73.33333333333333,-1.8454472379712692,-8.263252412107569
SIZE+RET40+DD120+CHIP250+C02,5,full,120,2021-09-07,2026-08-10,4743.825,,,14.143614262728857,36.52779546166027,5.523002673803032,8.620611588925826,0.6363038177286398,33.029097880091776,71.66666666666667,-0.7181364174724081,-8.505351952263542
SIZE+RET40+CHIP250+ASSET_GROWTH+C01+C02,6,full,120,2021-09-07,2026-08-10,4743.825,,,14.058917723858318,33.9729453107413,5.136709330984085,8.922208392874234,0.6667179309124688,33.43824130120731,71.66666666666667,-0.8252778525363951,-8.203755148315134
SIZE+RET40+DD120+CHIP250+C03,5,full,120,2021-09-07,2026-08-10,4743.825,,,14.11110850965764,37.32700912303134,5.643843779402338,8.4672647302553,0.631254806411048,32.812491873686845,71.66666666666667,-1.2197634227568042,-8.658698810934068
SIZE+DD120+CHIP250+DD60+C01,5,full,120,2021-09-07,2026-08-10,4743.825,,,13.451263471905287,34.13890188655406,5.1618019652469735,8.289461506658313,0.6240771645506095,33.22546684000465,75.0,-1.5524916999770235,-8.836502034531055
SIZE+DD120+CHIP250+DD60+ASSET_GROWTH+C03,6,full,120,2021-09-07,2026-08-10,4743.825,,,12.38841118470009,30.994220483563296,4.68632613711477,7.702085047585319,0.6161252040395508,32.81541706051646,68.33333333333333,-0.7852806339335121,-9.423878493604049
H03+RET40+DD120+CHIP250+ASSET_GROWTH+C03,6,full,120,2021-09-07,2026-08-10,4743.825,,,13.104701351718248,34.05913882441347,5.149741790251317,7.954959561466931,0.6379698273368931,33.75585297020438,73.33333333333333,-1.7452007941585093,-6.311507648489177
SIZE+CHIP250+DD60+C01+C03,5,full,120,2021-09-07,2026-08-10,4743.825,,,14.134256127263228,35.58147532759114,5.3799190695317805,8.754337057731448,0.6451173837285162,33.349049490886614,71.66666666666667,-1.2089302195944622,-8.37162648345792
