components,factor_count,recent_period_label,recent_periods,recent_first_signal_date,recent_last_signal_date,recent_mean_stock_count,recent_rank_ic,recent_ic_mean,recent_gross_excess_pct,recent_turnover_pct,recent_annual_cost_pct,recent_net_excess_pct,recent_sharpe_after_cost,recent_max_drawdown_pct,recent_monthly_win_rate_pct,recent_min_member_addition_pp,recent_vs_best_single_pp
SIZE+H03+RET40+CHIP250+DD60+C01+C03,7,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,7.697528207197359,36.56452696921727,5.528556477745651,2.1689717294517075,-0.3409940866236655,21.475464983620498,62.5,-1.637639146385117,-14.107179708341326
SIZE+H03+RET40+DD120+DD60+C01,6,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,7.81076596106917,36.17188245613118,5.469188627367034,2.341577333702136,-0.3331049056696572,21.137384235265067,62.5,-3.1413952505410148,-13.934574104090895
SIZE+CHIP250+DD60+ASSET_GROWTH+C03,5,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,0.1197200674567759,29.78606123010167,4.503652457991373,-4.383932390534596,-0.6097122324489156,22.5168924473504,37.5,-2.240128001525972,-16.95751825718608
SIZE+H03+RET40+DD120+DD60+ASSET_GROWTH+C01+C02,8,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,4.911995779934131,34.187372141780244,5.169130667837173,-0.2571348879030426,-0.4393933309720981,21.506223546745783,62.5,-3.202224529039823,-16.533286325696075
SIZE+DD120+CHIP250+DD60+ASSET_GROWTH+C02,6,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,-2.3590088020871773,29.8243812742374,4.509446448664694,-6.868455250751872,-0.7124365159489952,23.13452275277705,37.5,-2.6598296507006225,-19.44204111740336
SIZE+H03+RET40+DD60+ASSET_GROWTH+C01,6,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,10.513644497636475,34.01899414734851,5.143671915079094,5.369972582557383,-0.210935751985504,20.500824045832463,62.5,-3.72964494291723,-10.906178855235648
SIZE+H03+RET40+DD120+DD60+ASSET_GROWTH+C01,7,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,6.5538389086753535,33.730723257308895,5.100085356505106,1.4537535521702476,-0.3696781181515772,21.06134581122615,62.5,-3.916219030387136,-14.822397885622784
SIZE+RET40+DD120+CHIP250+ASSET_GROWTH+C01,6,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,0.7503677683914876,32.501501807746614,4.914227073331288,-4.1638593049398,-0.6079822039909942,22.79366286813848,50.0,-2.479991914404017,-16.737445171591283
H03+DD120+ASSET_GROWTH+C02+C03,5,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,0.9309816989619132,27.65535921555957,4.181490313392607,-3.2505086144306943,-0.5688955391217133,21.464825445512403,62.5,-5.920362680314259,-19.526660052223725
SIZE+H03+RET40+DD120+CHIP250+DD60+C01+C02+C03,9,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,3.882188820666274,35.72825421278416,5.402112036972966,-1.5199232163066914,-0.5011028441034433,21.686616981348276,50.0,-2.525250763909595,-17.796074654099723
SIZE+H03+RET40+DD120+CHIP250+DD60+ASSET_GROWTH+C02+C03,9,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,3.059311330666458,33.57263501380617,5.076182414087492,-2.016871083421034,-0.5149749893978326,21.81753225902735,62.5,-2.403186684179905,-18.293022521214063
H03+CHIP250+DD60+ASSET_GROWTH+C02+C03,6,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,1.1753391513218354,30.81690513047099,4.659516055727213,-3.4841769044053783,-0.5771814672819013,22.058584106660327,50.0,-1.9627571598381184,-19.76032834219841
SIZE+H03+RET40+CHIP250+DD60+C01+C02+C03,8,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,6.561326771803103,36.74602661508069,5.555999224200199,1.0053275476029035,-0.3911336682853724,21.57161576771206,62.5,-1.163644181848804,-15.27082389019013
SIZE+DD120+CHIP250+DD60+C02,5,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,0.8085678812738646,33.18249656961054,5.017193481325114,-4.208625600051249,-0.6118550816912132,22.28624417508983,37.5,-1.3644271608009282,-16.782211466702734
SIZE+DD120+DD60+C01+C02,5,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,2.089147658131998,33.80943753630355,5.1119869554890975,-3.022839297357099,-0.5571850101362247,21.84826710480912,50.0,-0.8659030378096197,-15.596425164008584
H03+RET40+CHIP250+ASSET_GROWTH+C03,5,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,6.360505062497412,33.18045055036592,5.016884123215327,1.3436209392820857,-0.3819723046666956,21.375094982119325,62.5,-4.721210740450808,-14.932530498510946
H03+CHIP250+DD60+C02+C03,5,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,2.315531963849581,33.82125604694925,5.113773914298727,-2.798241950449145,-0.5588536792552734,21.820145992346863,50.0,-2.3153907790074792,-19.07439338824218
SIZE+H03+RET40+DD120+CHIP250+DD60+ASSET_GROWTH+C01+C03,9,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,3.3491483903852504,33.49394592491908,5.064284623847765,-1.715136233462515,-0.50003503286501,21.834473907925155,62.5,-2.142599194041778,-17.99128767125555
H03+DD120+DD60+ASSET_GROWTH+C02,5,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,0.7195386327130572,29.877255418699782,4.517441019307408,-3.7979023865943504,-0.5874258022993953,21.907015131167707,50.0,-3.846613817485696,-20.074053824387384
SIZE+DD120+CHIP250+ASSET_GROWTH+C01+C02+C03,7,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,-2.824498282606417,29.013614866603533,4.386858567830454,-7.211356850436871,-0.7352194271753394,23.237976013379203,37.5,-2.207141102024525,-19.78494271708836
SIZE+H03+RET40+DD120+DD60+C01+C02,7,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,5.153667513398165,36.01542561260201,5.445532352625423,-0.2918648392272578,-0.4370174351718802,21.84195700952507,62.5,-3.7738187567479806,-16.56801627702029
SIZE+RET40+DD120+CHIP250+C02,5,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,3.05022151819806,35.610531116277336,5.384312304781132,-2.3340907865830727,-0.5332227385335849,22.11454855778205,50.0,-2.3819475878491696,-14.907676653234557
