holding_date,name,player,pid,pool,direction,cycle,rank_ic,ic,ic_mean,icir,n
20260911,F-A01_5日短期反转-克隆,小智,5341543d1aa846f6989d8edb76e554ba,a867a95df06f8e52eb84e3d7,negative,5,-0.3397362759376969,-0.2429082591877531,-0.1493337272161091,-1.1284575936363896,2
20260909,26,海子,0f823d0507dd430d82a83214fbbf771a,a6f8396a5327fefd0146df54,positive,5,-0.3391807547602153,-0.3418971546106716,-0.3418971546106716,,1
20260911,r2_mom_40,云淡风轻,369c9bc063214f4fb723a4bdc2b356f8,086c8833e6c9d0a4b32db220,negative,5,-0.3390965803844599,-0.216597036791604,-0.216597036791604,,1
20260914,AI30-20-OpenMom10D-20260804-134415,Ctest,e8df43ea69514282848e67d83c034e7f,c60c90354b9e9c06b7600a33,positive,4,-0.3383097961336936,-0.2226114646112774,-0.1113179945907079,-0.7459868986363054,3
20260911,revp1-RevRet10D,小黑盒,a42cbffc80e741878001c22cbc241b43,57b188b4c911623a81f056cb,negative,4,-0.3379805307325726,-0.2359300649206223,-0.1268657901143949,-0.8225210377079014,2
20260911,ovsB_120d high distance,瑞瑞,0072d685890943fb8842b5fd90960a73,ab0fafca3243a8c7d289c4f8,negative,5,-0.336635397198985,-0.2594491897988395,-0.2594491897988395,,1
20260911,r6_gap_3d,云淡风轻,369c9bc063214f4fb723a4bdc2b356f8,086c8833e6c9d0a4b32db220,negative,5,-0.3348978395528365,-0.2044640760674247,-0.2044640760674247,,1
20260911,r7_trend_strength,云淡风轻,369c9bc063214f4fb723a4bdc2b356f8,086c8833e6c9d0a4b32db220,negative,5,-0.3344623149332926,-0.2250649942097217,-0.2250649942097217,,1
20260909,p1-rev20短反转,先放着,ae39f39ebe904cb5a80b68b6c62549d0,f4bb4afbbf966c4274404335,positive,5,0.3329674740898669,0.2908654260112991,0.1067853824169548,0.4101947531315529,2
20260909,全A扩展-5D-均线反转20,我吐了再吃回去,42de026b792340f0b431865bf496da6e,203c6ec6bd940bfa19fe826b,negative,5,0.3329247188144395,0.2908647451271927,0.1067888458124321,0.4102172924872427,2
20260909,p26-probe-F-P01,Alpha大力,9a30d82398d0479bb9e757776fbabed7,edc5359123de6d001be2a064,negative,5,-0.332888404185554,-0.2908654260105531,-0.1067853824167355,-0.4101947531318836,2
20260909,full-mom-mom_bias20,我不会啊,9ba82617661048b1b36ffda848d8a880,d9912fa70c0705c49d35e488,positive,5,-0.332888404185554,-0.2908654260105531,-0.1067853824167355,-0.4101947531318836,2
20260911,v2-F-rev60,小海豚Buddy,fb7c575dbe704f6fb94a37110ae8e404,c7becad7dd6a5653123f8a61,negative,5,-0.3324210042002407,-0.2375568017877788,-0.1739200340849847,-1.9325311439457145,2
20260909,v3-乖离率20日反转,qingchen,1ee7ecbb2fc44076b66e9f634494a9ce,c7fa76de13efd48d5dfebc83,negative,5,-0.3318959533920028,-0.2774952673749745,-0.0998029064917035,-0.3971544505999894,2
20260911,r2_mom_wma_60,云淡风轻,369c9bc063214f4fb723a4bdc2b356f8,086c8833e6c9d0a4b32db220,negative,5,-0.3306190277456557,-0.1957674111069378,-0.1957674111069378,,1
20260911,pool-opt-20260821-07-low-volatility20,神圣量化帝国,fb781eccd6c3400a9c3aba5510f9c441,7a73d68ab0a3df8ab059925b,negative,5,0.3301457935970052,0.3059485416184674,0.3059485416184674,,1
